ccaa,year,spend_type,total_gastos_eur,func41_agricultura_pesca_alimentacion_eur,source_ref
Castilla y León,2015,presupuestado,9920811760.0,1443880660.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2015
Castilla-La Mancha,2015,presupuestado,8206375740.0,1237088390.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2015
Cataluña,2015,presupuestado,32618399470.0,240279290.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2015
Extremadura,2015,presupuestado,5365699560.0,815324670.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2015
Galicia,2015,presupuestado,9790361590.0,407612660.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2015
Islas Baleares,2015,presupuestado,4035591950.0,58564870.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2015
Comunidad de Madrid,2015,presupuestado,20852588670.0,11337700.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2015
Región de Murcia,2015,presupuestado,4642208090.0,99013920.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2015
Comunidad Foral de Navarra,2015,presupuestado,3792808420.0,86756410.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2015
País Vasco,2015,presupuestado,10700729680.0,110297990.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2015
La Rioja,2015,presupuestado,1286765230.0,52368880.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2015
Andalucía,2016,presupuestado,31290485560.0,2524417920.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2016
Aragón,2016,presupuestado,5129958000.0,631230480.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2016
Principado de Asturias,2016,presupuestado,3953677610.0,138153420.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2016
Comunidad Valenciana,2016,presupuestado,17561478480.0,449955650.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2016
Canarias,2016,presupuestado,7264829310.0,68613970.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=05&ano=2016
Cantabria,2016,presupuestado,2465472880.0,44763390.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=06&ano=2016
Castilla y León,2016,presupuestado,9843699240.0,1318536500.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2016
Castilla-La Mancha,2016,presupuestado,8420148970.000001,1264289030.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2016
Cataluña,2016,presupuestado,32607801340.0,239097660.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2016
Extremadura,2016,presupuestado,5197428060.0,737752840.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2016
Galicia,2016,presupuestado,10310241400.0,436389080.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2016
Islas Baleares,2016,presupuestado,4240896700.0,52104400.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2016
Comunidad de Madrid,2016,presupuestado,20139609300.0,33927480.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2016
Región de Murcia,2016,presupuestado,4916213050.0,93775270.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2016
Comunidad Foral de Navarra,2016,presupuestado,4005305030.0,94866730.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2016
País Vasco,2016,presupuestado,10995489510.0,111621720.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2016
La Rioja,2016,presupuestado,1337122830.0,57785910.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2016
Andalucía,2017,presupuestado,33244588900.0,2322652480.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2017
Aragón,2017,presupuestado,5577164910.0,635679220.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2017
Principado de Asturias,2017,presupuestado,4225564290.0,175230660.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2017
Comunidad Valenciana,2017,presupuestado,18137748810.0,448413700.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2017
Canarias,2017,presupuestado,7339187980.0,61687110.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=05&ano=2017
Cantabria,2017,presupuestado,2602893960.0,50889400.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=06&ano=2017
Castilla y León,2017,presupuestado,10293186360.0,1346493410.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2017
Castilla-La Mancha,2017,presupuestado,8941001030.0,1268812120.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2017
Cataluña,2017,presupuestado,34163865009.999996,559191400.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2017
Extremadura,2017,presupuestado,5171626740.0,750347780.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2017
Galicia,2017,presupuestado,11029406150.0,458564300.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2017
Islas Baleares,2017,presupuestado,4668235890.0,53334800.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2017
