year,crime_label,nationality_label,count
2021,agresion_sexual,oceania,0.0
2021,agresion_sexual,total,445.0
2021,agresion_sexual,ue27_excl_espana,36.0
2021,agresiones_sexuales,africa,93.0
2021,agresiones_sexuales,america,69.0
2021,agresiones_sexuales,asia,12.0
2021,agresiones_sexuales,española,267.0
2021,agresiones_sexuales,europa_no_ue27,8.0
2021,agresiones_sexuales,oceania,0.0
2021,agresiones_sexuales,total,491.0
2021,agresiones_sexuales,ue27_excl_espana,42.0
2021,cap8_total,africa,333.0
2021,cap8_total,america,398.0
2021,cap8_total,asia,83.0
2021,cap8_total,española,2782.0
2021,cap8_total,europa_no_ue27,51.0
2021,cap8_total,oceania,1.0
2021,cap8_total,total,3881.0
2021,cap8_total,ue27_excl_espana,233.0
2021,exhibicionismo,africa,26.0
2021,exhibicionismo,america,17.0
2021,exhibicionismo,asia,8.0
2021,exhibicionismo,española,353.0
2021,exhibicionismo,europa_no_ue27,6.0
2021,exhibicionismo,oceania,0.0
2021,exhibicionismo,total,430.0
2021,exhibicionismo,ue27_excl_espana,20.0
2021,prostitucion_menores,africa,37.0
2021,prostitucion_menores,america,45.0
2021,prostitucion_menores,asia,7.0
2021,prostitucion_menores,española,450.0
2021,prostitucion_menores,europa_no_ue27,7.0
2021,prostitucion_menores,oceania,0.0
2021,prostitucion_menores,total,592.0
2021,prostitucion_menores,ue27_excl_espana,46.0
2021,violacion,africa,7.0
2021,violacion,america,8.0
2021,violacion,asia,3.0
2021,violacion,española,22.0
2021,violacion,europa_no_ue27,0.0
2021,violacion,oceania,0.0
2021,violacion,total,46.0
2021,violacion,ue27_excl_espana,6.0
2022,abusos_agresiones_menores16,africa,43.0
2022,abusos_agresiones_menores16,america,106.0
2022,abusos_agresiones_menores16,asia,17.0
2022,abusos_agresiones_menores16,española,560.0
2022,abusos_agresiones_menores16,europa_no_ue27,8.0
2022,abusos_agresiones_menores16,oceania,0.0
2022,abusos_agresiones_menores16,total,762.0
2022,abusos_agresiones_menores16,ue27_excl_espana,28.0
2022,abusos_sexuales,africa,132.0
2022,abusos_sexuales,america,173.0
2022,abusos_sexuales,asia,39.0
2022,abusos_sexuales,española,1018.0
2022,abusos_sexuales,europa_no_ue27,19.0
2022,abusos_sexuales,oceania,0.0
2022,abusos_sexuales,total,1458.0
2022,abusos_sexuales,ue27_excl_espana,77.0
2022,acoso_sexual,africa,0.0
2022,acoso_sexual,america,10.0
2022,acoso_sexual,asia,2.0
2022,acoso_sexual,española,66.0
2022,acoso_sexual,europa_no_ue27,1.0
2022,acoso_sexual,oceania,0.0
2022,acoso_sexual,total,81.0
2022,acoso_sexual,ue27_excl_espana,2.0
2022,agresion_sexual,africa,93.0
2022,agresion_sexual,america,67.0
2022,agresion_sexual,asia,11.0
2022,agresion_sexual,española,248.0
2022,agresion_sexual,europa_no_ue27,6.0
2022,agresion_sexual,oceania,0.0
2022,agresion_sexual,total,462.0
2022,agresion_sexual,ue27_excl_espana,37.0
2022,agresiones_sexuales,africa,98.0
2022,agresiones_sexuales,america,78.0
2022,agresiones_sexuales,asia,15.0
2022,agresiones_sexuales,española,270.0
2022,agresiones_sexuales,europa_no_ue27,8.0
2022,agresiones_sexuales,oceania,0.0
2022,agresiones_sexuales,total,508.0
2022,agresiones_sexuales,ue27_excl_espana,39.0
2022,cap8_total,africa,318.0
2022,cap8_total,america,437.0
2022,cap8_total,asia,86.0
2022,cap8_total,española,2651.0
2022,cap8_total,europa_no_ue27,85.0
2022,cap8_total,oceania,0.0
2022,cap8_total,total,3785.0
2022,cap8_total,ue27_excl_espana,208.0
2022,exhibicionismo,africa,22.0
2022,exhibicionismo,america,25.0
2022,exhibicionismo,asia,5.0
2022,exhibicionismo,española,295.0
2022,exhibicionismo,europa_no_ue27,10.0
2022,exhibicionismo,oceania,0.0
2022,exhibicionismo,total,377.0
2022,exhibicionismo,ue27_excl_espana,20.0
2022,prostitucion_menores,africa,23.0
2022,prostitucion_menores,america,45.0
2022,prostitucion_menores,asia,8.0
2022,prostitucion_menores,española,442.0
2022,prostitucion_menores,europa_no_ue27,39.0
2022,prostitucion_menores,oceania,0.0
2022,prostitucion_menores,total,599.0
2022,prostitucion_menores,ue27_excl_espana,42.0
2022,violacion,africa,5.0
2022,violacion,america,11.0
2022,violacion,asia,4.0
2022,violacion,española,22.0
2022,violacion,europa_no_ue27,2.0
2022,violacion,oceania,0.0
2022,violacion,total,46.0
2022,violacion,ue27_excl_espana,2.0
2023,abusos_agresiones_menores16,africa,46.0
2023,abusos_agresiones_menores16,america,113.0
2023,abusos_agresiones_menores16,asia,14.0
2023,abusos_agresiones_menores16,española,635.0
2023,abusos_agresiones_menores16,europa_no_ue27,4.0
2023,abusos_agresiones_menores16,oceania,0.0
2023,abusos_agresiones_menores16,total,839.0
2023,abusos_agresiones_menores16,ue27_excl_espana,27.0
2023,abusos_sexuales,africa,97.0
2023,abusos_sexuales,america,121.0
2023,abusos_sexuales,asia,20.0
2023,abusos_sexuales,española,701.0
2023,abusos_sexuales,europa_no_ue27,11.0
2023,abusos_sexuales,oceania,0.0
2023,abusos_sexuales,total,996.0
2023,abusos_sexuales,ue27_excl_espana,46.0
2023,acoso_sexual,africa,5.0
2023,acoso_sexual,america,1.0
2023,acoso_sexual,asia,0.0
2023,acoso_sexual,española,39.0
2023,acoso_sexual,europa_no_ue27,0.0
2023,acoso_sexual,oceania,0.0
2023,acoso_sexual,total,47.0
2023,acoso_sexual,ue27_excl_espana,2.0
2023,agresion_sexual,africa,155.0
2023,agresion_sexual,america,75.0
2023,agresion_sexual,asia,20.0
2023,agresion_sexual,española,313.0
2023,agresion_sexual,europa_no_ue27,25.0
2023,agresion_sexual,oceania,1.0
2023,agresion_sexual,total,646.0
2023,agresion_sexual,ue27_excl_espana,57.0
2023,agresiones_sexuales,africa,160.0
2023,agresiones_sexuales,america,77.0
2023,agresiones_sexuales,asia,20.0
2023,agresiones_sexuales,española,332.0
2023,agresiones_sexuales,europa_no_ue27,26.0
2023,agresiones_sexuales,oceania,1.0
2023,agresiones_sexuales,total,676.0
2023,agresiones_sexuales,ue27_excl_espana,60.0
2023,cap8_total,africa,355.0
2023,cap8_total,america,386.0
2023,cap8_total,asia,60.0
2023,cap8_total,española,2369.0
2023,cap8_total,europa_no_ue27,60.0
2023,cap8_total,oceania,1.0
2023,cap8_total,total,3423.0
2023,cap8_total,ue27_excl_espana,192.0
2023,exhibicionismo,africa,31.0
