year,sex,age_group,cause,deaths
2000,male,1-4,Eventos de intención no determinada,0
2000,male,1-4,Suicidio y lesiones autoinfligidas,0
2000,male,1-4,Todas las causas,220
2000,male,1-4,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,male,10-14,Accidentes de tráfico,73
2000,male,10-14,Agresiones (homicidio),0
2000,male,10-14,Envenenamiento accidental por psicofármacos y drogas de abuso,2
2000,male,10-14,Eventos de intención no determinada,0
2000,male,10-14,Suicidio y lesiones autoinfligidas,6
2000,male,10-14,Todas las causas,220
2000,male,10-14,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,male,15-19,Accidentes de tráfico,400
2000,male,15-19,Agresiones (homicidio),4
2000,male,15-19,Envenenamiento accidental por psicofármacos y drogas de abuso,17
2000,male,15-19,Eventos de intención no determinada,0
2000,male,15-19,Suicidio y lesiones autoinfligidas,71
2000,male,15-19,Todas las causas,862
2000,male,15-19,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,male,20-24,Accidentes de tráfico,664
2000,male,20-24,Agresiones (homicidio),26
2000,male,20-24,Envenenamiento accidental por psicofármacos y drogas de abuso,62
2000,male,20-24,Eventos de intención no determinada,7
2000,male,20-24,Suicidio y lesiones autoinfligidas,158
2000,male,20-24,Todas las causas,1533
2000,male,20-24,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",2
2000,male,25-29,Accidentes de tráfico,570
2000,male,25-29,Agresiones (homicidio),41
2000,male,25-29,Envenenamiento accidental por psicofármacos y drogas de abuso,125
2000,male,25-29,Eventos de intención no determinada,8
2000,male,25-29,Suicidio y lesiones autoinfligidas,225
2000,male,25-29,Todas las causas,1806
2000,male,25-29,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",7
2000,male,30-34,Accidentes de tráfico,427
2000,male,30-34,Agresiones (homicidio),52
2000,male,30-34,Envenenamiento accidental por psicofármacos y drogas de abuso,164
2000,male,30-34,Eventos de intención no determinada,5
