year,sex,age_group,cause_chapter,cause,deaths,population,rate_per_100k
2000,female,40-44,,Envenenamiento accidental por psicofármacos y drogas de abuso,7,1459473,0.4796
2000,female,40-44,,Eventos de intención no determinada,3,1459473,0.2056
2000,female,40-44,,Suicidio y lesiones autoinfligidas,53,1459473,3.6314
2000,female,40-44,I-XXII,Todas las causas,1589,1459473,108.8749
2000,female,40-44,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",1,1459473,0.0685
2000,female,45-49,,Accidentes de tráfico,69,1265310,5.4532
2000,female,45-49,,Agresiones (homicidio),6,1265310,0.4742
2000,female,45-49,,Envenenamiento accidental por psicofármacos y drogas de abuso,2,1265310,0.1581
2000,female,45-49,,Eventos de intención no determinada,2,1265310,0.1581
2000,female,45-49,,Suicidio y lesiones autoinfligidas,52,1265310,4.1097
2000,female,45-49,I-XXII,Todas las causas,1920,1265310,151.7415
2000,female,45-49,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,1265310,0.0
2000,female,5-9,,Accidentes de tráfico,18,949727,1.8953
2000,female,5-9,,Agresiones (homicidio),0,949727,0.0
2000,female,5-9,,Envenenamiento accidental por psicofármacos y drogas de abuso,0,949727,0.0
2000,female,5-9,,Eventos de intención no determinada,0,949727,0.0
2000,female,5-9,,Suicidio y lesiones autoinfligidas,0,949727,0.0
2000,female,5-9,I-XXII,Todas las causas,119,949727,12.5299
2000,female,5-9,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,949727,0.0
2000,female,50-54,,Accidentes de tráfico,75,1224471,6.1251
2000,female,50-54,,Agresiones (homicidio),8,1224471,0.6533
2000,female,50-54,,Envenenamiento accidental por psicofármacos y drogas de abuso,3,1224471,0.245
2000,female,50-54,,Eventos de intención no determinada,1,1224471,0.0817
2000,female,50-54,,Suicidio y lesiones autoinfligidas,64,1224471,5.2267
2000,female,50-54,I-XXII,Todas las causas,2640,1224471,215.6033
2000,female,50-54,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,1224471,0.0
2000,female,55-59,,Accidentes de tráfico,67,1088096,6.1575
2000,female,55-59,,Agresiones (homicidio),5,1088096,0.4595
2000,female,55-59,,Envenenamiento accidental por psicofármacos y drogas de abuso,2,1088096,0.1838
2000,female,55-59,,Eventos de intención no determinada,1,1088096,0.0919
2000,female,55-59,,Suicidio y lesiones autoinfligidas,53,1088096,4.8709
2000,female,55-59,I-XXII,Todas las causas,3402,1088096,312.6562
2000,female,55-59,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,1088096,0.0
2000,female,60-64,,Accidentes de tráfico,65,996223,6.5246
2000,female,60-64,,Agresiones (homicidio),2,996223,0.2008
2000,female,60-64,,Envenenamiento accidental por psicofármacos y drogas de abuso,4,996223,0.4015
2000,female,60-64,,Eventos de intención no determinada,2,996223,0.2008
2000,female,60-64,,Suicidio y lesiones autoinfligidas,67,996223,6.7254
2000,female,60-64,I-XXII,Todas las causas,5002,996223,502.0964
2000,female,60-64,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,996223,0.0
2000,female,65-69,,Accidentes de tráfico,102,1112269,9.1704
2000,female,65-69,,Agresiones (homicidio),4,1112269,0.3596
2000,female,65-69,,Envenenamiento accidental por psicofármacos y drogas de abuso,0,1112269,0.0
2000,female,65-69,,Eventos de intención no determinada,1,1112269,0.0899
2000,female,65-69,,Suicidio y lesiones autoinfligidas,78,1112269,7.0127
2000,female,65-69,I-XXII,Todas las causas,9412,1112269,846.1982
2000,female,65-69,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,1112269,0.0
2000,female,70-74,,Accidentes de tráfico,108,996561,10.8373
2000,female,70-74,,Agresiones (homicidio),5,996561,0.5017
2000,female,70-74,,Envenenamiento accidental por psicofármacos y drogas de abuso,3,996561,0.301
2000,female,70-74,,Eventos de intención no determinada,1,996561,0.1003
2000,female,70-74,,Suicidio y lesiones autoinfligidas,87,996561,8.73
2000,female,70-74,I-XXII,Todas las causas,15027,996561,1507.8856
2000,female,70-74,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,996561,0.0
2000,female,75-79,,Accidentes de tráfico,108,810091,13.3318
2000,female,75-79,,Agresiones (homicidio),8,810091,0.9875
2000,female,75-79,,Envenenamiento accidental por psicofármacos y drogas de abuso,1,810091,0.1234
2000,female,75-79,,Eventos de intención no determinada,3,810091,0.3703
2000,female,75-79,,Suicidio y lesiones autoinfligidas,70,810091,8.641
2000,female,75-79,I-XXII,Todas las causas,23757,810091,2932.6335
2000,female,75-79,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,810091,0.0
2000,female,80-84,,Accidentes de tráfico,69,525308,13.1352
