year,sex,age_group,nationality,population_july1
2004,male,15-19,spanish,1114154
2004,male,15-19,total,1203678
2004,male,20-24,foreign,169995
2004,male,20-24,spanish,1371270
2004,male,20-24,total,1541265
2004,male,25-29,foreign,265264
2004,male,25-29,spanish,1654491
2004,male,25-29,total,1919755
2004,male,30-34,foreign,253431
2004,male,30-34,spanish,1637247
2004,male,30-34,total,1890678
2004,male,35-39,foreign,199497
2004,male,35-39,spanish,1601869
2004,male,35-39,total,1801367
2004,male,40-44,foreign,141058
2004,male,40-44,spanish,1516140
2004,male,40-44,total,1657198
2004,male,45-49,foreign,94086
2004,male,45-49,spanish,1358707
2004,male,45-49,total,1452793
2004,male,5-9,foreign,75548
2004,male,5-9,spanish,929609
2004,male,5-9,total,1005157
2004,male,50-54,foreign,59058
2004,male,50-54,spanish,1196709
2004,male,50-54,total,1255767
2004,male,55-59,foreign,42693
2004,male,55-59,spanish,1142585
2004,male,55-59,total,1185278
2004,male,60-64,foreign,37367
2004,male,60-64,spanish,945551
2004,male,60-64,total,982918
2004,male,65-69,foreign,31540
2004,male,65-69,spanish,856025
2004,male,65-69,total,887565
2004,male,70-74,foreign,20173
2004,male,70-74,spanish,853928
2004,male,70-74,total,874101
2004,male,75-79,foreign,12055
2004,male,75-79,spanish,629683
2004,male,75-79,total,641737
2004,male,80+,foreign,10226
2004,male,80+,spanish,601631
2004,male,80+,total,611857
2004,male,all,foreign,1647954
2004,male,all,spanish,19445097
2004,male,all,total,21093052
2005,all,0-4,foreign,154968
2005,all,0-4,spanish,2058434
2005,all,0-4,total,2213403
2005,all,10-14,foreign,168355
2005,all,10-14,spanish,1922397
2005,all,10-14,total,2090751
2005,all,15-19,foreign,203885
2005,all,15-19,spanish,2116853
2005,all,15-19,total,2320737
2005,all,20-24,foreign,395001
2005,all,20-24,spanish,2559737
2005,all,20-24,total,2954738
2005,all,25-29,foreign,594994
2005,all,25-29,spanish,3173500
2005,all,25-29,total,3768494
2005,all,30-34,foreign,547782
2005,all,30-34,spanish,3266174
2005,all,30-34,total,3813956
2005,all,35-39,foreign,434475
2005,all,35-39,spanish,3192586
2005,all,35-39,total,3627061
2005,all,40-44,foreign,314816
2005,all,40-44,spanish,3092553
2005,all,40-44,total,3407369
2005,all,45-49,foreign,219912
2005,all,45-49,spanish,2826115
2005,all,45-49,total,3046026
2005,all,5-9,foreign,164487
2005,all,5-9,spanish,1843456
2005,all,5-9,total,2007942
2005,all,50-54,foreign,146556
2005,all,50-54,spanish,2448191
2005,all,50-54,total,2594748
2005,all,55-59,foreign,109314
2005,all,55-59,spanish,2343445
2005,all,55-59,total,2452759
2005,all,60-64,foreign,88918
2005,all,60-64,spanish,2045383
2005,all,60-64,total,2134301
2005,all,65-69,foreign,71562
2005,all,65-69,spanish,1788713
2005,all,65-69,total,1860275
2005,all,70-74,foreign,44587
2005,all,70-74,spanish,1906387
2005,all,70-74,total,1950974
2005,all,75-79,foreign,26865
2005,all,75-79,spanish,1544827
2005,all,75-79,total,1571693
2005,all,80+,foreign,25567
2005,all,80+,spanish,1821821
2005,all,80+,total,1847387
2005,all,all,foreign,3712043
2005,all,all,spanish,39950570
2005,all,all,total,43662613
2005,female,0-4,foreign,75454
2005,female,0-4,spanish,1000210
2005,female,0-4,total,1075664
2005,female,10-14,foreign,81089
2005,female,10-14,spanish,934675
2005,female,10-14,total,1015764
2005,female,15-19,foreign,97642
2005,female,15-19,spanish,1030209
2005,female,15-19,total,1127851
2005,female,20-24,foreign,190470
2005,female,20-24,spanish,1248096
2005,female,20-24,total,1438566
2005,female,25-29,foreign,268362
2005,female,25-29,spanish,1552043
2005,female,25-29,total,1820406
2005,female,30-34,foreign,235546
2005,female,30-34,spanish,1605390
2005,female,30-34,total,1840936
2005,female,35-39,foreign,187456
2005,female,35-39,spanish,1584031
2005,female,35-39,total,1771487
2005,female,40-44,foreign,141878
2005,female,40-44,spanish,1545440
2005,female,40-44,total,1687318
2005,female,45-49,foreign,102946
2005,female,45-49,spanish,1420091
2005,female,45-49,total,1523037
2005,female,5-9,foreign,80189
2005,female,5-9,spanish,896783
2005,female,5-9,total,976972
2005,female,50-54,foreign,73662
