sex,nationality,age,year,count
all,europa_no_ue27,71+,2024,2
female,europa_no_ue27,71+,2024,0
male,europa_no_ue27,71+,2024,2
all,europa_no_ue27,total,2024,66
female,europa_no_ue27,total,2024,8
male,europa_no_ue27,total,2024,58
all,oceania,18-20,2024,0
female,oceania,18-20,2024,0
male,oceania,18-20,2024,0
all,oceania,21-25,2024,0
female,oceania,21-25,2024,0
male,oceania,21-25,2024,0
all,oceania,26-30,2024,0
female,oceania,26-30,2024,0
male,oceania,26-30,2024,0
all,oceania,31-35,2024,0
female,oceania,31-35,2024,0
male,oceania,31-35,2024,0
all,oceania,36-40,2024,0
female,oceania,36-40,2024,0
male,oceania,36-40,2024,0
all,oceania,41-50,2024,0
female,oceania,41-50,2024,0
male,oceania,41-50,2024,0
all,oceania,51-60,2024,1
female,oceania,51-60,2024,0
male,oceania,51-60,2024,1
all,oceania,61-70,2024,0
female,oceania,61-70,2024,0
male,oceania,61-70,2024,0
all,oceania,71+,2024,0
female,oceania,71+,2024,0
male,oceania,71+,2024,0
all,oceania,total,2024,1
female,oceania,total,2024,0
male,oceania,total,2024,1
all,total,18-20,2024,347
female,total,18-20,2024,10
male,total,18-20,2024,337
all,total,21-25,2024,501
female,total,21-25,2024,20
male,total,21-25,2024,481
all,total,26-30,2024,454
female,total,26-30,2024,20
male,total,26-30,2024,434
all,total,31-35,2024,452
female,total,31-35,2024,21
male,total,31-35,2024,431
all,total,36-40,2024,482
female,total,36-40,2024,20
male,total,36-40,2024,462
all,total,41-50,2024,772
female,total,41-50,2024,22
male,total,41-50,2024,750
all,total,51-60,2024,544
female,total,51-60,2024,11
male,total,51-60,2024,533
all,total,61-70,2024,237
female,total,61-70,2024,5
male,total,61-70,2024,232
all,total,71+,2024,147
female,total,71+,2024,1
male,total,71+,2024,146
all,total,total,2024,3936
female,total,total,2024,130
male,total,total,2024,3806
all,ue27_excl_espana,18-20,2024,19
female,ue27_excl_espana,18-20,2024,2
male,ue27_excl_espana,18-20,2024,17
all,ue27_excl_espana,21-25,2024,28
female,ue27_excl_espana,21-25,2024,2
male,ue27_excl_espana,21-25,2024,26
all,ue27_excl_espana,26-30,2024,43
female,ue27_excl_espana,26-30,2024,1
male,ue27_excl_espana,26-30,2024,42
all,ue27_excl_espana,31-35,2024,29
female,ue27_excl_espana,31-35,2024,1
male,ue27_excl_espana,31-35,2024,28
all,ue27_excl_espana,36-40,2024,31
female,ue27_excl_espana,36-40,2024,1
male,ue27_excl_espana,36-40,2024,30
all,ue27_excl_espana,41-50,2024,42
female,ue27_excl_espana,41-50,2024,2
male,ue27_excl_espana,41-50,2024,40
all,ue27_excl_espana,51-60,2024,37
female,ue27_excl_espana,51-60,2024,1
male,ue27_excl_espana,51-60,2024,36
all,ue27_excl_espana,61-70,2024,16
female,ue27_excl_espana,61-70,2024,0
male,ue27_excl_espana,61-70,2024,16
all,ue27_excl_espana,71+,2024,1
female,ue27_excl_espana,71+,2024,0
male,ue27_excl_espana,71+,2024,1
all,ue27_excl_espana,total,2024,246
female,ue27_excl_espana,total,2024,10
male,ue27_excl_espana,total,2024,236
all,africa,18-20,2025,49
female,africa,18-20,2025,0
male,africa,18-20,2025,49
all,africa,21-25,2025,110
female,africa,21-25,2025,3
male,africa,21-25,2025,107
all,africa,26-30,2025,91
female,africa,26-30,2025,2
male,africa,26-30,2025,89
all,africa,31-35,2025,87
female,africa,31-35,2025,7
male,africa,31-35,2025,80
all,africa,36-40,2025,65
female,africa,36-40,2025,2
male,africa,36-40,2025,63
all,africa,41-50,2025,79
female,africa,41-50,2025,1
male,africa,41-50,2025,78
all,africa,51-60,2025,24
female,africa,51-60,2025,0
male,africa,51-60,2025,24
all,africa,61-70,2025,7
female,africa,61-70,2025,0
male,africa,61-70,2025,7
all,africa,71+,2025,2
female,africa,71+,2025,0
male,africa,71+,2025,2
all,africa,total,2025,514
female,africa,total,2025,15
male,africa,total,2025,499
all,america,18-20,2025,44
female,america,18-20,2025,2
male,america,18-20,2025,42
all,america,21-25,2025,85
female,america,21-25,2025,1
male,america,21-25,2025,84
all,america,26-30,2025,106
female,america,26-30,2025,4
male,america,26-30,2025,102
all,america,31-35,2025,125
female,america,31-35,2025,4
male,america,31-35,2025,121
all,america,36-40,2025,97
female,america,36-40,2025,2
male,america,36-40,2025,95
all,america,41-50,2025,150
female,america,41-50,2025,6
male,america,41-50,2025,144
all,america,51-60,2025,37
female,america,51-60,2025,3
male,america,51-60,2025,34
all,america,61-70,2025,12
female,america,61-70,2025,0
male,america,61-70,2025,12
all,america,71+,2025,5
female,america,71+,2025,0
male,america,71+,2025,5
all,america,total,2025,661
female,america,total,2025,22
male,america,total,2025,639
all,asia,18-20,2025,2
female,asia,18-20,2025,0
male,asia,18-20,2025,2
all,asia,21-25,2025,17
female,asia,21-25,2025,0
male,asia,21-25,2025,17
all,asia,26-30,2025,14
female,asia,26-30,2025,0
male,asia,26-30,2025,14
all,asia,31-35,2025,22
female,asia,31-35,2025,0
male,asia,31-35,2025,22
all,asia,36-40,2025,16
female,asia,36-40,2025,0
male,asia,36-40,2025,16
all,asia,41-50,2025,28
female,asia,41-50,2025,0
male,asia,41-50,2025,28
all,asia,51-60,2025,8
female,asia,51-60,2025,0
male,asia,51-60,2025,8
all,asia,61-70,2025,1
female,asia,61-70,2025,0
male,asia,61-70,2025,1
all,asia,71+,2025,0
female,asia,71+,2025,0
male,asia,71+,2025,0
all,asia,total,2025,108
female,asia,total,2025,0
male,asia,total,2025,108
all,espanola,18-20,2025,234
female,espanola,18-20,2025,3
male,espanola,18-20,2025,231
all,espanola,21-25,2025,332
female,espanola,21-25,2025,6
male,espanola,21-25,2025,326
all,espanola,26-30,2025,298
female,espanola,26-30,2025,11
male,espanola,26-30,2025,287
all,espanola,31-35,2025,262
female,espanola,31-35,2025,4
male,espanola,31-35,2025,258
all,espanola,36-40,2025,299
female,espanola,36-40,2025,6
male,espanola,36-40,2025,293
all,espanola,41-50,2025,622
female,espanola,41-50,2025,19
male,espanola,41-50,2025,603
all,espanola,51-60,2025,483
female,espanola,51-60,2025,7
male,espanola,51-60,2025,476
all,espanola,61-70,2025,245
female,espanola,61-70,2025,1
male,espanola,61-70,2025,244
all,espanola,71+,2025,168
female,espanola,71+,2025,0
male,espanola,71+,2025,168
all,espanola,total,2025,2943
female,espanola,total,2025,57
male,espanola,total,2025,2886
all,europa_no_ue27,18-20,2025,1
female,europa_no_ue27,18-20,2025,0
male,europa_no_ue27,18-20,2025,1
all,europa_no_ue27,21-25,2025,3
female,europa_no_ue27,21-25,2025,0
male,europa_no_ue27,21-25,2025,3
all,europa_no_ue27,26-30,2025,7
female,europa_no_ue27,26-30,2025,0
male,europa_no_ue27,26-30,2025,7
all,europa_no_ue27,31-35,2025,7
female,europa_no_ue27,31-35,2025,1
male,europa_no_ue27,31-35,2025,6
all,europa_no_ue27,36-40,2025,8
female,europa_no_ue27,36-40,2025,0
male,europa_no_ue27,36-40,2025,8
all,europa_no_ue27,41-50,2025,11
female,europa_no_ue27,41-50,2025,0
male,europa_no_ue27,41-50,2025,11
all,europa_no_ue27,51-60,2025,4
female,europa_no_ue27,51-60,2025,0
male,europa_no_ue27,51-60,2025,4
all,europa_no_ue27,61-70,2025,4
female,europa_no_ue27,61-70,2025,0
male,europa_no_ue27,61-70,2025,4
all,europa_no_ue27,71+,2025,4
female,europa_no_ue27,71+,2025,0
male,europa_no_ue27,71+,2025,4
all,europa_no_ue27,total,2025,49
female,europa_no_ue27,total,2025,1
male,europa_no_ue27,total,2025,48
all,oceania,18-20,2025,0
female,oceania,18-20,2025,0
male,oceania,18-20,2025,0
all,oceania,21-25,2025,0
female,oceania,21-25,2025,0
male,oceania,21-25,2025,0
all,oceania,26-30,2025,0
female,oceania,26-30,2025,0
male,oceania,26-30,2025,0
all,oceania,31-35,2025,0
female,oceania,31-35,2025,0
male,oceania,31-35,2025,0
all,oceania,36-40,2025,0
female,oceania,36-40,2025,0
male,oceania,36-40,2025,0
all,oceania,41-50,2025,0
female,oceania,41-50,2025,0
male,oceania,41-50,2025,0
all,oceania,51-60,2025,0
female,oceania,51-60,2025,0
male,oceania,51-60,2025,0
all,oceania,61-70,2025,0
female,oceania,61-70,2025,0
male,oceania,61-70,2025,0
all,oceania,71+,2025,0
female,oceania,71+,2025,0
male,oceania,71+,2025,0
all,oceania,total,2025,0
female,oceania,total,2025,0
male,oceania,total,2025,0
all,total,18-20,2025,343
female,total,18-20,2025,5
male,total,18-20,2025,338
all,total,21-25,2025,576
female,total,21-25,2025,12
male,total,21-25,2025,564
all,total,26-30,2025,551
female,total,26-30,2025,17
male,total,26-30,2025,534
all,total,31-35,2025,539
female,total,31-35,2025,17
male,total,31-35,2025,522
all,total,36-40,2025,528
female,total,36-40,2025,13
male,total,36-40,2025,515
all,total,41-50,2025,949
female,total,41-50,2025,29
male,total,41-50,2025,920
all,total,51-60,2025,584
female,total,51-60,2025,13
male,total,51-60,2025,571
all,total,61-70,2025,278
female,total,61-70,2025,1
male,total,61-70,2025,277
all,total,71+,2025,183
female,total,71+,2025,0
male,total,71+,2025,183
all,total,total,2025,4531
female,total,total,2025,107
male,total,total,2025,4424
all,ue27_excl_espana,18-20,2025,13
female,ue27_excl_espana,18-20,2025,0
male,ue27_excl_espana,18-20,2025,13
all,ue27_excl_espana,21-25,2025,29
female,ue27_excl_espana,21-25,2025,2
male,ue27_excl_espana,21-25,2025,27
all,ue27_excl_espana,26-30,2025,35
female,ue27_excl_espana,26-30,2025,0
male,ue27_excl_espana,26-30,2025,35
all,ue27_excl_espana,31-35,2025,36
female,ue27_excl_espana,31-35,2025,1
male,ue27_excl_espana,31-35,2025,35
all,ue27_excl_espana,36-40,2025,43
female,ue27_excl_espana,36-40,2025,3
male,ue27_excl_espana,36-40,2025,40
all,ue27_excl_espana,41-50,2025,59
female,ue27_excl_espana,41-50,2025,3
male,ue27_excl_espana,41-50,2025,56
all,ue27_excl_espana,51-60,2025,28
female,ue27_excl_espana,51-60,2025,3
male,ue27_excl_espana,51-60,2025,25
all,ue27_excl_espana,61-70,2025,9
female,ue27_excl_espana,61-70,2025,0
male,ue27_excl_espana,61-70,2025,9
all,ue27_excl_espana,71+,2025,4
female,ue27_excl_espana,71+,2025,0
male,ue27_excl_espana,71+,2025,4
all,ue27_excl_espana,total,2025,256
female,ue27_excl_espana,total,2025,12
male,ue27_excl_espana,total,2025,244
