sex,nationality,age,year,count
all,total,31-35,2018,310
female,total,31-35,2018,16
male,total,31-35,2018,294
all,total,36-40,2018,332
female,total,36-40,2018,18
male,total,36-40,2018,314
all,total,41-50,2018,482
female,total,41-50,2018,12
male,total,41-50,2018,470
all,total,51-60,2018,336
female,total,51-60,2018,4
male,total,51-60,2018,332
all,total,61-70,2018,169
female,total,61-70,2018,0
male,total,61-70,2018,169
all,total,71+,2018,105
female,total,71+,2018,0
male,total,71+,2018,105
all,total,total,2018,2431
female,total,total,2018,89
male,total,total,2018,2342
all,ue28_excl_espana,18-20,2018,7
female,ue28_excl_espana,18-20,2018,1
male,ue28_excl_espana,18-20,2018,6
all,ue28_excl_espana,21-25,2018,28
female,ue28_excl_espana,21-25,2018,2
male,ue28_excl_espana,21-25,2018,26
all,ue28_excl_espana,26-30,2018,30
female,ue28_excl_espana,26-30,2018,8
male,ue28_excl_espana,26-30,2018,22
all,ue28_excl_espana,31-35,2018,31
female,ue28_excl_espana,31-35,2018,0
male,ue28_excl_espana,31-35,2018,31
all,ue28_excl_espana,36-40,2018,21
female,ue28_excl_espana,36-40,2018,2
male,ue28_excl_espana,36-40,2018,19
all,ue28_excl_espana,41-50,2018,30
female,ue28_excl_espana,41-50,2018,1
male,ue28_excl_espana,41-50,2018,29
all,ue28_excl_espana,51-60,2018,18
female,ue28_excl_espana,51-60,2018,0
male,ue28_excl_espana,51-60,2018,18
all,ue28_excl_espana,61-70,2018,11
female,ue28_excl_espana,61-70,2018,0
male,ue28_excl_espana,61-70,2018,11
all,ue28_excl_espana,71+,2018,2
female,ue28_excl_espana,71+,2018,0
male,ue28_excl_espana,71+,2018,2
all,ue28_excl_espana,total,2018,178
female,ue28_excl_espana,total,2018,14
male,ue28_excl_espana,total,2018,164
all,africa,18-20,2019,21
female,africa,18-20,2019,0
male,africa,18-20,2019,21
all,africa,21-25,2019,37
female,africa,21-25,2019,0
male,africa,21-25,2019,37
all,africa,26-30,2019,44
female,africa,26-30,2019,6
male,africa,26-30,2019,38
all,africa,31-35,2019,54
female,africa,31-35,2019,5
male,africa,31-35,2019,49
all,africa,36-40,2019,30
female,africa,36-40,2019,2
male,africa,36-40,2019,28
all,africa,41-50,2019,38
female,africa,41-50,2019,2
male,africa,41-50,2019,36
all,africa,51-60,2019,8
female,africa,51-60,2019,0
male,africa,51-60,2019,8
all,africa,61-70,2019,4
female,africa,61-70,2019,0
male,africa,61-70,2019,4
all,africa,71+,2019,0
female,africa,71+,2019,0
male,africa,71+,2019,0
all,africa,total,2019,236
female,africa,total,2019,15
male,africa,total,2019,221
all,america,18-20,2019,19
female,america,18-20,2019,1
male,america,18-20,2019,18
all,america,21-25,2019,35
female,america,21-25,2019,1
male,america,21-25,2019,34
all,america,26-30,2019,35
female,america,26-30,2019,0
male,america,26-30,2019,35
all,america,31-35,2019,30
female,america,31-35,2019,1
male,america,31-35,2019,29
all,america,36-40,2019,44
female,america,36-40,2019,3
male,america,36-40,2019,41
all,america,41-50,2019,43
female,america,41-50,2019,4
male,america,41-50,2019,39
all,america,51-60,2019,22
female,america,51-60,2019,2
male,america,51-60,2019,20
all,america,61-70,2019,3
female,america,61-70,2019,0
male,america,61-70,2019,3
all,america,71+,2019,1
female,america,71+,2019,0
male,america,71+,2019,1
all,america,total,2019,232
female,america,total,2019,12
male,america,total,2019,220
all,asia,18-20,2019,6
female,asia,18-20,2019,0
male,asia,18-20,2019,6
all,asia,21-25,2019,4
female,asia,21-25,2019,0
male,asia,21-25,2019,4
all,asia,26-30,2019,5
female,asia,26-30,2019,0
male,asia,26-30,2019,5
all,asia,31-35,2019,10
female,asia,31-35,2019,0
male,asia,31-35,2019,10
all,asia,36-40,2019,3
female,asia,36-40,2019,0
male,asia,36-40,2019,3
all,asia,41-50,2019,8
female,asia,41-50,2019,0
male,asia,41-50,2019,8
all,asia,51-60,2019,6
female,asia,51-60,2019,0
male,asia,51-60,2019,6
all,asia,61-70,2019,1
female,asia,61-70,2019,0
male,asia,61-70,2019,1
all,asia,71+,2019,0
female,asia,71+,2019,0
male,asia,71+,2019,0
all,asia,total,2019,43
female,asia,total,2019,0
male,asia,total,2019,43
all,espanola,18-20,2019,132
female,espanola,18-20,2019,5
male,espanola,18-20,2019,127
all,espanola,21-25,2019,193
female,espanola,21-25,2019,2
male,espanola,21-25,2019,191
all,espanola,26-30,2019,199
female,espanola,26-30,2019,2
male,espanola,26-30,2019,197
all,espanola,31-35,2019,197
female,espanola,31-35,2019,3
male,espanola,31-35,2019,194
all,espanola,36-40,2019,233
female,espanola,36-40,2019,7
male,espanola,36-40,2019,226
all,espanola,41-50,2019,427
female,espanola,41-50,2019,8
male,espanola,41-50,2019,419
all,espanola,51-60,2019,305
female,espanola,51-60,2019,4
male,espanola,51-60,2019,301
all,espanola,61-70,2019,172
female,espanola,61-70,2019,2
male,espanola,61-70,2019,170
